state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size,months_since_last_claim,months_since_policy_inception
Other,No,Basic,Bachelor,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Agent,Two-Door Car,Medsize,group_23-35,group_0-24
Other,No,Premium,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Medsize,group_14-23,group_24-48
California,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Call Center,SUV,Medsize,group_14-23,group_48-71
Other,No,Basic,Bachelor,Employed,M,Rural,Single,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize,group_6-14,group_24-48
Oregon,Yes,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer2,Web,Two-Door Car,Medsize,group_6-14,group_71-99
Oregon,Yes,Basic,College,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize,group_0-6,group_0-24
Arizona,No,Premium,Master,Unemployed,M,Urban,Single,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize,group_0-6,group_48-71
Oregon,Yes,Basic,Bachelor,Other,M,Suburban,Divorced,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize,group_6-14,group_0-24
Oregon,No,Extended,College,Employed,F,Urban,Married,Special Auto,Special L2,Offer2,Branch,Four-Door Car,Medsize,group_14-23,group_0-24
California,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small,group_14-23,group_0-24
California,No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,SUV,Medsize,group_23-35,group_71-99
California,No,Premium,Master,Employed,M,Urban,Married,Corporate Auto,Corporate L1,Offer2,Agent,Four-Door Car,Medsize,group_6-14,group_71-99
Arizona,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Corporate L3,Offer2,Branch,SUV,Medsize,group_14-23,group_24-48
California,No,Basic,College,Employed,M,Urban,Single,Corporate Auto,Corporate L3,Offer4,Call Center,Four-Door Car,Medsize,group_14-23,group_0-24
Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Corporate L2,Offer2,Branch,Four-Door Car,Medsize,group_6-14,group_48-71
Other,No,Basic,High School or Below,Other,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Call Center,Two-Door Car,Medsize,group_6-14,group_0-24
California,No,Basic,College,Other,M,Suburban,Married,Personal Auto,Personal L2,Offer3,Call Center,SUV,Medsize,group_6-14,group_48-71
Oregon,No,Basic,College,Employed,M,Urban,Married,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Medsize,group_6-14,group_0-24
California,No,Premium,High School or Below,Employed,F,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Call Center,Four-Door Car,Small,group_6-14,group_0-24
Oregon,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Branch,Two-Door Car,Medsize,group_23-35,group_0-24
Other,No,Extended,Bachelor,Other,F,Suburban,Divorced,Personal Auto,Personal L3,Offer4,Call Center,Four-Door Car,Medsize,group_6-14,group_48-71
Arizona,Yes,Basic,Bachelor,Other,M,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,group_6-14,group_0-24
Other,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L3,Offer1,Branch,Four-Door Car,Medsize,group_0-6,group_24-48
California,No,Basic,Bachelor,Other,F,Suburban,Married,Corporate Auto,Corporate L2,Offer2,Branch,Four-Door Car,Medsize,group_23-35,group_71-99
Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Large,group_14-23,group_0-24
California,No,Premium,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small,group_14-23,group_24-48
Other,No,Extended,Master,Other,F,Urban,Married,Corporate Auto,Corporate L1,Offer1,Branch,SUV,Medsize,group_23-35,group_48-71
Arizona,No,Premium,College,Employed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Large,group_23-35,group_48-71
Oregon,No,Extended,Master,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Small,group_14-23,group_24-48
Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer4,Call Center,Four-Door Car,Small,group_0-6,group_0-24
Other,No,Extended,High School or Below,Employed,M,Urban,Married,Corporate Auto,Corporate L2,Offer2,Agent,Luxury,Medsize,group_0-6,group_0-24
California,No,Basic,Bachelor,Unemployed,M,Urban,Married,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Medsize,group_14-23,group_48-71
Other,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Agent,Two-Door Car,Small,group_23-35,group_0-24
Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Corporate L1,Offer3,Web,Four-Door Car,Medsize,group_14-23,group_24-48
Arizona,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Medsize,group_6-14,group_24-48
California,No,Premium,Bachelor,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small,group_6-14,group_48-71
Oregon,No,Extended,Master,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Small,group_14-23,group_71-99
Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer3,Agent,Two-Door Car,Small,group_6-14,group_71-99
Arizona,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Medsize,group_0-6,group_0-24
Other,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer3,Call Center,Two-Door Car,Medsize,group_6-14,group_0-24
Oregon,Yes,Basic,College,Employed,F,Rural,Single,Corporate Auto,Corporate L3,Offer2,Agent,Two-Door Car,Medsize,group_0-6,group_24-48
California,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Small,group_6-14,group_24-48
Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer4,Agent,Luxury,Medsize,group_14-23,group_0-24
Other,No,Basic,College,Employed,M,Suburban,Married,Special Auto,Special L2,Offer2,Call Center,Four-Door Car,Large,group_14-23,group_48-71
Oregon,No,Premium,Doctor,Other,F,Rural,Married,Personal Auto,Personal L2,Offer1,Branch,SUV,Medsize,group_0-6,group_0-24
Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer3,Call Center,Four-Door Car,Medsize,group_6-14,group_48-71
Oregon,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal Auto,Personal L2,Offer4,Agent,Two-Door Car,Medsize,group_6-14,group_0-24
California,No,Extended,Bachelor,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L2,Offer2,Call Center,Four-Door Car,Medsize,group_6-14,group_71-99
Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Offer4,Branch,Four-Door Car,Medsize,group_6-14,group_48-71
Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,SUV,Small,group_0-6,group_24-48
California,Yes,Basic,Bachelor,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L1,Offer1,Web,SUV,Medsize,group_14-23,group_71-99
Other,No,Basic,High School or Below,Employed,F,Rural,Married,Special Auto,Special L1,Offer4,Branch,Four-Door Car,Medsize,group_0-6,group_24-48
Other,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer4,Agent,Four-Door Car,Medsize,group_14-23,group_24-48
California,No,Premium,Bachelor,Other,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Small,group_14-23,group_24-48
Arizona,No,Extended,College,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer3,Call Center,Four-Door Car,Small,group_0-6,group_48-71
California,No,Basic,College,Employed,M,Urban,Married,Special Auto,Special L2,Offer2,Branch,Four-Door Car,Medsize,group_23-35,group_48-71
Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Offer1,Call Center,SUV,Small,group_23-35,group_0-24
Oregon,No,Extended,High School or Below,Other,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Call Center,SUV,Medsize,group_23-35,group_24-48
Oregon,No,Premium,Master,Other,F,Suburban,Divorced,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize,group_0-6,group_71-99
Arizona,Yes,Basic,Bachelor,Other,M,Suburban,Divorced,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize,group_0-6,group_24-48
California,No,Premium,Bachelor,Other,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Call Center,Two-Door Car,Small,group_0-6,group_48-71
Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Small,group_14-23,group_48-71
California,No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize,group_0-6,group_71-99
Arizona,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer3,Branch,Four-Door Car,Large,group_14-23,group_24-48
Other,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer3,Web,Four-Door Car,Medsize,group_23-35,group_48-71
Oregon,No,Basic,College,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer1,Agent,SUV,Medsize,group_6-14,group_48-71
Arizona,No,Extended,High School or Below,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer4,Branch,Two-Door Car,Small,group_0-6,group_48-71
Oregon,Yes,Extended,Bachelor,Unemployed,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Call Center,Two-Door Car,Large,group_6-14,group_0-24
